pub_date,author,bias,citation according to google scholar,specific_topic,hed_main,link,abstract,grouping,type,annotation,anno_title
1998_02_28,"Wakefield A, et al.",,3071,mmr,"Ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(97)11096-0/fulltext,"We investigated a consecutive series of children with chronic enterocolitis and regressive developmental disorder. 12 children (mean age 6 years [range 3–10], 11 boys) were referred to a paediatric gastroenterology unit with a history of normal development followed by loss of acquired skills, including language, together with diarrhoea and abdominal pain. Children underwent gastroenterological, neurological, and developmental assessment and review of developmental records. Ileocolonoscopy and biopsy sampling, magnetic-resonance imaging (MRI), electroencephalography (EEG), and lumbar puncture were done under sedation. Barium follow-through radiography was done where possible. Biochemical, haematological, and immunological profiles were examined. Onset of behavioural symptoms was associated, by the parents, with measles, mumps, and rubella vaccination in eight of the 12 children, with measles infection in one child, and otitis media in another. All 12 children had intestinal abnormalities, ranging from lymphoid nodular hyperplasia to aphthoid ulceration. Histology showed patchy chronic inflammation in the colon in 11 children and reactive ileal lymphoid hyperplasia in seven, but no granulomas. Behavioural disorders included autism (nine), disintegrative psychosis (one), and possible postviral or vaccinal encephalitis (two). There were no focal neurological abnormalities and MRI and EEG tests were normal. Abnormal laboratory results were significantly raised urinary methylmalonic acid compared with agematched controls (p=0·003), low haemoglobin in four children, and a low serum IgA in four children. We identified associated gastrointestinal disease and developmental regression in a group of previously normal children, which was generally associated in time with possible environmental triggers.

",original,paper," In February of 1998, however, London doctor Andrew Wakefield published a study of 12 infants in a respected medical journal, The Lancet, purporting an association between autism and the mumps measles and rubella (MMR) vaccine.",The beginning
1998_05_02,"Peltola H, et al.",,263,mmr,"No Evidence for Measles, Mumps, and Rubella Vaccine-Associated Inflammatory Bowel Disease or Autism in a 14-year Prospective Study",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(98)24018-9/fulltext,"Concern of potential loss of confidence in measles, mumps, and rubella (MMR) vaccine has been raised by a recent paper 2 that suggested a causal association between this vaccine (or another environmental trigger) and a new syndrome of chronic inflammatory bowel disease and autism. Characteristically, all children described developed intestinal symptoms within days or soon after vaccination.",aap,paper,,
1999_06_12,"Taylor B, et al.",,963,mmr,"Autism and Measles, Mumps, and Rubella Vaccine: No Epidemiological Evidence for a Causal Association",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(99)01239-8/fulltext,"We undertook an epidemiological study to investigate whether measles, mumps, and rubella (MMR) vaccine may be causally associated with autism. Children with autism born since 1979 were identified from special needs/disability registers and special schools in eight North Thames health districts, UK. Information from clinical records was linked to immunisation data held on the child health computing system. We looked for evidence of a change in trend in incidence or age at diagnosis associated with the introduction of MMR vaccination to the UK in 1988. Clustering of onsets within defined postvaccination periods was investigated by the case-series method. We identified 498 cases of autism (261 of core autism, 166 of atypical autism, and 71 of Asperger's syndrome). In 293 cases the diagnosis could be confirmed by the criteria of the International Classification of Diseases, tenth revision (ICD10: 214 [82%] core autism, 52 [31%] atypical autism, 27 [38%] Asperger's syndrome). There was a steady increase in cases by year of birth with no sudden “step-up” or change in the trend line after the introduction of MMR vaccination. There was no difference in age at diagnosis between the cases vaccinated before or after 18 months of age and those never vaccinated. There was no temporal association between onset of autism within 1 or 2 years after vaccination with MMR (relative incidence compared with control period 0·94 [95% Cl 0·60–1·47] and 1·09 [0·79–1·52]). Developmental regression was not clustered in the months after vaccination (relative incidence within 2 months and 4 months after MMR vaccination 0·92 [0·38–2·21] and 1·00 [0·52–1·95]). No significant temporal clustering for age at onset of parental concern was seen for cases of core autism or atypical autism with the exception of a single interval within 6 months of MMR vaccination. This appeared to be an artifact related to the difficulty of defining precisely the onset of symptoms in this disorder. Our analyses do not support a causal association between MMR vaccine and autism. If such an association occurs, it is so rare that it could not be identified in this large regional sample.",aap_cochrane,paper,"A year later, the same scientific jounal publishes a study that finds no relationship between the MMR vaccine and autism among a sample of 498 children",The end: no autism/vaccine link
2001_02_24,"Kaye JA, et al.",,478,mmr,"Mumps, Measles, and Rubella Vaccine and the Incidence of Autism Recorded by General Practitioners: A Time Trend Analysis",https://www.bmj.com/content/322/7284/460,"Objective: To estimate changes in the risk of autism and assess the relation of autism to the mumps, measles, and rubella (MMR) vaccine. Design: Time trend analysis of data from the UK general practice research database (GPRD). Setting: General practices in the United Kingdom. Subjects: Children aged 12 years or younger diagnosed with autism 1988-99, with further analysis of boys aged 2 to 5 years born 1988-93. Main outcome measures: Annual and age specific incidence for first recorded diagnoses of autism (that is, when the diagnosis of autism was first recorded) in the children aged 12 years or younger; annual, birth cohort specific risk of autism diagnosed in the 2 to 5 year old boys; coverage (prevalence) of MMR vaccination in the same birth cohorts. Results: The incidence of newly diagnosed autism increased sevenfold, from 0.3 per 10 000 person years in 1988 to 2.1 per 10 000 person years in 1999. The peak incidence was among 3 and 4 year olds, and 83% (254/305) of cases were boys. In an annual birth cohort analysis of 114 boys born in 1988-93, the risk of autism in 2 to 5 year old boys increased nearly fourfold over time, from 8 (95% confidence interval 4 to 14) per 10 000 for boys born in 1988 to 29 (20 to 43) per 10 000 for boys born in 1993. For the same annual birth cohorts the prevalence of MMR vaccination was over 95%. Conclusions: Because the incidence of autism among 2 to 5 year olds increased markedly among boys born in each year separately from 1988 to 1993 while MMR vaccine coverage was over 95% for successive annual birth cohorts, the data provide evidence that no correlation exists between the prevalence of MMR vaccination and the rapid increase in the risk of autism over time. The explanation for the marked increase in risk of the diagnosis of autism in the past decade remains uncertain.",aap,paper,,
2001_06_14,"Farrington CP, et al.",,244,mmr,MMR and autism: further evidence against a causal association,https://www.sciencedirect.com/science/article/pii/S0264410X01000974,"The hypothesis that MMR vaccines cause autism was first raised by reports of cases in which developmental regression occurred soon after MMR vaccination. A previous study found no evidence to support this hypothesis. It has recently been suggested that MMR vaccine might cause autism, but that the induction interval need not be short. The data from the earlier study were reanalysed to test this second hypothesis. Our results do not support this hypothesis, and provide further evidence against a causal association between MMR vaccination and autism.",aap,paper,,
2001_03_07,Dales L et al.,,423,mmr,Time Trends in Autism and in MMR Immunization Coverage in California,https://jamanetwork.com/journals/jama/fullarticle/193604,"Context: Considerable concern has been generated in the lay and medical communities by a theory that increased measles-mumps-rubella (MMR) immunization among young children may be the cause of an apparent marked increase in autism occurrence. Objective: To determine if a correlation exists in secular trends of MMR immunization coverage among young children and autism occurrence. Design, Setting, and Participants: Retrospective analyses of MMR immunization coverage rates among children born in 1980-1994 who were enrolled in California kindergartens (survey samples of 600-1900 children each year) and whose school immunization records were reviewed to retrospectively determine the age at which they first received MMR immunization; and of autism caseloads among children born in these years who were diagnosed with autism and were enrolled in the California Department of Developmental Services regional service center system. Main Outcome Measures: Measles-mumps-rubella immunization coverage rates as of ages 17 months and 24 months and numbers of Department of Developmental Services system enrollees diagnosed with autism, grouped by year of birth. Results: Essentially no correlation was observed between the secular trend of early childhood MMR immunization rates in California and the secular trend in numbers of children with autism enrolled in California's regional service center system. For the 1980-1994 birth cohorts, a marked, sustained increase in autism case numbers was noted, from 44 cases per 100 000 live births in the 1980 cohort to 208 cases per 100 000 live births in the 1994 cohort (a 373% relative increase), but changes in early childhood MMR immunization coverage over the same time period were much smaller and of shorter duration. Immunization coverage by the age of 24 months increased from 72% to 82%, a relative increase of only 14%, over the same time period. Conclusions: These data do not suggest an association between MMR immunization among young children and an increase in autism occurrence.",aap,paper,,
2001_03_01,"Davis RL, et al.",,149,mmr,Measles-Mumps-Rubella and Other Measles-Containing Vaccines Do Not Increase the Risk for Inflammatory Bowel Disease,https://jamanetwork.com/journals/jamapediatrics/fullarticle/190443,"Context: A link between measles virus–containing vaccines and inflammatory bowel disease (IBD) has been suggested by recent studies. Objective: To address whether receipt or timing of measles-containing vaccine (MCV) increases risk for IBD. Design: A case-control study. Setting Four large health maintenance organizations (HMOs) that are part of the Centers for Disease Control and Prevention's Vaccine Safety Datalink project. Patients or Other Participants: A total of 155 persons with codes from International Classification of Diseases, Ninth Revision specific for IBD, born between 1958 and 1989 and enrolled from birth to the onset of disease, were identified. Up to 5 controls were matched by sex, HMO, and birth year. Intervention: None. Main Outcome Measures: Risk for IBD, Crohn's disease, and ulcerative colitis. Results: Past vaccination was not associated with an increased risk for Crohn's disease (odds ratio [OR] for measles-mumps-rubella vaccine [MMR], 0.4; 95% confidence interval [CI], 0.08-2.0), ulcerative colitis (OR, 0.8; 95% CI, 0.18-3.56), or IBD (OR, 0.59; 95% CI, 0.21-1.68). Risk for IBD was not increased among children vaccinated who were younger than 12 months (OR for MMR, 0.61; 95% CI, 0.15-2.45) or aged 12 to 18 months (OR, 0.86; 95% CI, 0.28-2.59) relative to unvaccinated children. Children vaccinated with MMR who were older than 18 months were at significantly decreased risk for IBD (OR, 0.16; 95% CI, 0.04-0.68). Neither past vaccination nor age at vaccination with other MCV was associated with increased risk for Crohn's disease, ulcerative colitis, or IBD. Risk for Crohn's disease, ulcerative colitis, or IBD was not elevated in the time immediately following vaccination with either vaccine. Conclusions: Vaccination with MMR or other MCV, or the timing of vaccination early in life, did not increase the risk for IBD.",aap,paper,,
2001_10_01,"Fombonne E, et al.",,391,mmr,No evidence for a new variant of measles-mumps-rubella-induced autism.,https://pediatrics.aappublications.org/content/108/4/e58,"Objective. A link has been postulated between measles-mumps-rubella (MMR) vaccine and a form of autism that is a combination of developmental regression and gastrointestinal symptoms that occur shortly after immunization. This hypothesis has involved 3 separate claims: 1) that there is new phenotype of autism involving regression and gastrointestinal symptoms, 2) that this new variant is responsible for the alleged rise of autism rates, and 3) that this phenotype is associated with biological findings suggestive of the persistence of measles infection. We tested the first of these claims. If this new “autistic enterocolitis” syndrome had some validity, then 1 or several of the following 6 predictions should be supported by empirical data: 1) childhood disintegrative disorder has become more frequent, 2) the mean age of first parental concern for autistic children who are exposed to MMR is closer to the mean immunization age than in children who are not exposed to MMR, 3) regression in the development of children with autism has become more common in MMR-vaccinated children, 4) the age of onset for autistic children with regression clusters around the MMR immunization date and is different from that of autistic children without regression, 5) children with regressive autism have distinct symptom and severity profiles, and 6) regressive autism is associated with gastrointestinal symptoms and/or inflammatory bowel disorder. Methods. Three samples were used. Epidemiologic data on 96 children (95 immunized with MMR at a median age of 13.5 months) who were born between 1992 and 1995 and had a pervasive developmental disorder diagnosis as reported in a recent UK survey (post-MMR sample) were compared with data from 2 previous clinical samples (1 pre-MMR [n = 98] and 1 post-MMR [n = 68]) of autistic patients. All patients were assessed with the standardized Autism Diagnostic Interview (ADI), allowing rigorous comparison of age at first parental concerns and rates of regression across samples. Reliability was excellent on ADI scores, age of parental concern, and developmental regression. Furthermore, data on bowel symptoms and disorders were available in the epidemiologic survey from both pediatric and parental sources, and immunization dates were obtained from computerized records. Results. The prevalence of childhood disintegrative disorder was 0.6/10 000 (95% confidence interval: 0.02–3.6/10 000); this very low rate is consistent with previous estimates and is not suggestive of an increased frequency of this form of pervasive developmental disorder in samples of children who are immunized with MMR. There was no difference in the mean age at first parental concern between the 2 samples exposed to MMR (19.3 and 19.2 months) and the pre-MMR sample (19.5 months). Thus, MMR immunization was not associated with a shift toward an earlier age for first parental concerns. Similarly, the rate of developmental regression reported in the post-MMR sample (15.6%) was not different from that in the pre-MMR sample (18.4%); therefore, there was no suggestion that regression in the developmental course of autism had increased in frequency since MMR was introduced. In the epidemiologic sample, the subset of autistic children with regression had no other developmental or clinical characteristics, which would have argued for a specific, etiologically distinct phenotype. Parents of autistic children with developmental regression detected the first symptoms at a very similar age (19.8 months) to those of autistic children without regression (19.3 months). Moreover, the mean intervals from MMR immunization to parental recognition of autistic symptoms were comparable in autistic children with or without regression (248 vs 272 days; not significant). In the epidemiologic sample, gastrointestinal symptoms were reported in 18.8% of children. Constipation was the most common symptom (9.4%), and no inflammatory bowel disorder was reported. Furthermore, there was no association between developmental regression and gastrointestinal symptoms (odds ratio: 0.63; 95% confidence interval: 0.06–3.2; not significant), and only 2.1% of the sample experienced both problems, a rate that did not exceed chance expectations. Conclusions. No evidence was found to support a distinct syndrome of MMR-induced autism or of “autistic enterocolitis.” These results add to the recent accumulation of large-scale epidemiologic studies that all failed to support an association between MMR and autism at population level. When combined, the current findings do not argue for changes in current immunization programs and recommendations.",aap_cochrane,paper,"3 studies over the course of the next 3 years, with over 1 million children assessed, find no link between the MMR vaccine and autism.","The end, pt. 2"
2002_02_16,"Taylor B, et al. ",,408,mmr,"Measles, mumps, and rubella vaccination and bowel problems or developmental regression in children with autism: population study.",https://www.researchgate.net/publication/11511750_Measles_mumps_and_rubella_vaccination_and_bowel_problems_or_developmental_regression_in_children_with_autism_Population_study,"Objectives: To investigate whether measles, mumps, and rubella (MMR) vaccination is associated with bowel problems and developmental regression in children with autism, looking for evidence of a ""new variant"" form of autism. Design: Population study with case note review linked to independently recorded vaccine data. Setting: Five health districts in north east London. Participants: 278 children with core autism and 195 with atypical autism, mainly identified from computerised disability registers and born between 1979 and 1998. Main outcome measures: Recorded bowel problems lasting at least three months, age of reported regression of the child's development where it was a feature, and relation of these to MMR vaccination. Results: The proportion of children with developmental regression (25% overall) or bowel symptoms (17%) did not change significantly (P value for trend 0.50 and 0.47, respectively) during the 20 years from 1979, a period which included the introduction of MMR vaccination in October 1988. No significant difference was found in rates of bowel problems or regression in children who received the MMR vaccine before their parents became concerned about their development (where MMR might have caused or triggered the autism with regression or bowel problem), compared with those who received it only after such concern and those who had not received the MMR vaccine. A possible association between non-specific bowel problems and regression in children with autism was seen but this was unrelated to MMR vaccination. Conclusions: These findings provide no support for an MMR associated ""new variant"" form of autism with developmental regression and bowel problems, and further evidence against involvement of MMR vaccine in the initiation of autism.",aap_cochrane,paper,,
2002_08_24,"Black C, et al.",,264,mmr,Relation of childhood gastrointestinal disorders to autism: nested case-control study using data from the UK General Practice Research Database.,https://www.bmj.com/content/325/7361/419,"Objectives: To assess whether children with autism are more likely to have a history of gastrointestinal disorders than children without autism. Design: Nested case-control study. Setting: UK General Practice Research Database. Subjects: Children born after 1 January 1988 and registered with the General Practice Research Database within 6 months of birth. Outcome measures: Chronic inflammation of the gastrointestinal tract, coeliac disease, food intolerance, and recurrent gastrointestinal symptoms recorded by the general practitioner. Results: 9 of 96 (9%) children with a diagnosis of autism (cases) and 41 of 449 (9%) children without autism (matched controls) had a history of gastrointestinal disorders before the index date (the date of first recorded diagnosis of autism in the cases and the same date for controls). The estimated odds ratio for a history of gastrointestinal disorders among children with autism compared with children without autism was 1.0 (95% confidence interval 0.5 to 2.2). Conclusions: No evidence was found that children with autism were more likely than children without autism to have had defined gastrointestinal disorders at any time before their diagnosis of autism.",aap,paper,,
